name	female_count	male_count
aayah	31	0
aayam	0	20
aayan	0	1197
aayana	114	0
aayanah	10	0
aayanna	38	0
aayansh	0	110
aayat	77	0
aaydan	0	11
aayden	5	1322
aayla	367	0
aaylah	67	0
aayliah	81	0
aayra	21	0
aayu	0	6
aayush	0	1099
aayusha	11	0
aayushi	215	0
aazan	0	5
aazeen	5	0
aazil	0	6
aazim	0	21
aaziyah	28	0
ab	0	362
aba	22	5
abaan	0	36
abaas	0	6
abad	0	82
abagael	210	0
abagail	5549	0
abagaile	15	0
abagale	366	0
abagayle	341	0
abaigael	19	0
abaigail	10	0
abaigeal	321	0
aban	0	24
abanoub	0	138
abas	0	71
abasi	0	40
abass	0	80
abayomi	0	215
abb	0	96
abba	6	39
abbaas	0	5
abbagail	833	0
abbagale	134	0
abbagayle	112	0
abbas	0	1189
abbe	1325	0
abbee	163	0
abbegail	246	0
abbegale	82	0
abbegayle	73	0
abbey	17044	35
abbeygail	66	0
abbeygale	22	0
abbi	1984	0
abbie	21266	325
abbiegail	237	0
abbiegale	58	0
abbiegayle	18	0
abbigael	162	0
abbigail	11286	5
abbigaile	91	0
abbigal	157	0
abbigale	2102	0
abbigayl	29	0
abbigayle	1287	0
abbilyn	12	0
abbot	0	23
abbott	24	936
abbra	36	0
abbriella	25	0
abbrielle	83	0
abby	56869	181
abbye	184	0
abbygael	70	0
abbygail	3299	0
abbygaile	47	0
abbygale	762	0
abbygayl	6	0
abbygayle	438	0
abbylynn	18	0
abcde	367	0
abd	0	17
abdala	0	6
abdalah	0	6
abdalla	0	282
abdallah	0	1189
abdalrahman	0	160
abdalrhman	0	5
abdel	0	542
abdelaziz	0	100
abdelhadi	0	5
abdelhamid	0	5
abdelkareem	0	10
abdelkarim	0	32
abdellah	0	24
abdelrahman	0	554
abdelrhman	0	6
abderrahman	0	5
abdi	10	256
abdia	5	0
abdias	0	567
abdiasis	0	6
abdiaziz	0	138
abdiel	0	3776
abdifatah	0	204
abdihafid	0	16
abdihakim	0	36
abdihamid	0	5
abdikadir	0	132
abdikarim	0	21
abdikhaliq	0	5
abdilahi	0	10
abdimalik	0	183
abdinajib	0	5
abdinasir	0	156
abdiqani	0	27
abdirahim	0	69
abdirahin	0	6
abdirahman	0	1526
abdirashid	0	32
abdirisaq	0	12
abdirizak	0	81
abdisalam	0	5
abdisalan	0	6
abdisamad	0	23
abdishakur	0	53
abdiwahab	0	19
abdiwali	0	5
abdo	0	52
abdon	0	359
abdou	0	213
abdoul	0	418
abdoulaye	0	622
abdoulaziz	0	10
abdoulie	0	110
abdourahman	0	5
abdourahmane	0	18
abdrahman	0	15
abdrew	0	6
abdu	0	32
abdual	0	17
abduallah	0	32
abduel	0	5
abdul	0	5594
abdula	0	39
abdulah	0	75
abdulahad	0	69
abdulahi	0	395
abdulai	0	83
abdulaye	0	5
abdulazeem	0	5
abdulazeez	0	25
abdulaziz	0	1173
abdulbari	0	5
abdulbasit	0	13
abdule	0	6
abdulelah	0	28
abdulhaadi	0	5
abdulhadi	0	108
abdulhakeem	0	38
abdulhakim	0	16
abdulhalim	0	5
abdulhameed	0	11
abdulhamid	0	60
abduljabbar	0	16
abduljaleel	0	5
abduljalil	0	5
abdulkadir	0	115
abdulkareem	0	172
abdulkarim	0	134
abdulkhaliq	0	13
abdull	0	5
abdulla	0	424
abdullah	0	6536
abdullahi	0	1258
abdullatif	0	34
abdulloh	0	32
abdulmajeed	0	27
